Data;Sistema;GWh
15/08/2015;Nordeste;67,3
15/08/2015;Norte;0
15/08/2015;Sistema Interligado Nacional;74,8
16/08/2015;Sudeste/Centro-Oeste;0
16/08/2015;Sul;8,1
16/08/2015;Nordeste;70,4
16/08/2015;Norte;0
16/08/2015;Sistema Interligado Nacional;78,5
17/08/2015;Sudeste/Centro-Oeste;0
17/08/2015;Sul;16,8
17/08/2015;Nordeste;71,7
17/08/2015;Norte;0
17/08/2015;Sistema Interligado Nacional;88,5
18/08/2015;Sudeste/Centro-Oeste;0
18/08/2015;Sul;8,3
18/08/2015;Nordeste;72,4
18/08/2015;Norte;0
18/08/2015;Sistema Interligado Nacional;80,7
19/08/2015;Sudeste/Centro-Oeste;0
19/08/2015;Sul;15,1
19/08/2015;Nordeste;66,6
19/08/2015;Norte;0
19/08/2015;Sistema Interligado Nacional;81,7
20/08/2015;Sudeste/Centro-Oeste;0
20/08/2015;Sul;9,3
20/08/2015;Nordeste;43,9
20/08/2015;Norte;0
20/08/2015;Sistema Interligado Nacional;53,2
21/08/2015;Sudeste/Centro-Oeste;0
21/08/2015;Sul;22,3
21/08/2015;Nordeste;45,6
21/08/2015;Norte;0
21/08/2015;Sistema Interligado Nacional;67,8
22/08/2015;Sudeste/Centro-Oeste;0
22/08/2015;Sul;15,3
22/08/2015;Nordeste;60,3
22/08/2015;Norte;0
22/08/2015;Sistema Interligado Nacional;75,6
23/08/2015;Sudeste/Centro-Oeste;0
23/08/2015;Sul;18
23/08/2015;Nordeste;69,7
23/08/2015;Norte;0
23/08/2015;Sistema Interligado Nacional;87,7
24/08/2015;Sudeste/Centro-Oeste;0
24/08/2015;Sul;6
24/08/2015;Nordeste;58,2
24/08/2015;Norte;0
24/08/2015;Sistema Interligado Nacional;64,2
25/08/2015;Sudeste/Centro-Oeste;0
25/08/2015;Sul;21,8
25/08/2015;Nordeste;54,2
25/08/2015;Norte;0
25/08/2015;Sistema Interligado Nacional;76
26/08/2015;Sudeste/Centro-Oeste;0
26/08/2015;Sul;21
26/08/2015;Nordeste;46,4
26/08/2015;Norte;0
26/08/2015;Sistema Interligado Nacional;67,3
27/08/2015;Sudeste/Centro-Oeste;0
27/08/2015;Sul;18,9
27/08/2015;Nordeste;55,3
27/08/2015;Norte;0
27/08/2015;Sistema Interligado Nacional;74,2
28/08/2015;Sudeste/Centro-Oeste;0
28/08/2015;Sul;8,8
28/08/2015;Nordeste;70
28/08/2015;Norte;0
28/08/2015;Sistema Interligado Nacional;78,8
29/08/2015;Sudeste/Centro-Oeste;0
29/08/2015;Sul;13,3
29/08/2015;Nordeste;66,3
29/08/2015;Norte;0
29/08/2015;Sistema Interligado Nacional;79,7
30/08/2015;Sudeste/Centro-Oeste;0
30/08/2015;Sul;6,9
30/08/2015;Nordeste;66,9
30/08/2015;Norte;0
30/08/2015;Sistema Interligado Nacional;73,8
31/08/2015;Sudeste/Centro-Oeste;0
31/08/2015;Sul;13
31/08/2015;Nordeste;67,2
31/08/2015;Norte;0
31/08/2015;Sistema Interligado Nacional;80,2
01/09/2015;Sudeste/Centro-Oeste;0
01/09/2015;Sul;16,4
01/09/2015;Nordeste;50,8
01/09/2015;Norte;0
01/09/2015;Sistema Interligado Nacional;67,1
02/09/2015;Sudeste/Centro-Oeste;0
02/09/2015;Sul;11
02/09/2015;Nordeste;47,2
02/09/2015;Norte;0
02/09/2015;Sistema Interligado Nacional;58,2
03/09/2015;Sudeste/Centro-Oeste;0
03/09/2015;Sul;9,1
03/09/2015;Nordeste;48,6
03/09/2015;Norte;0
03/09/2015;Sistema Interligado Nacional;57,7
04/09/2015;Sudeste/Centro-Oeste;0
04/09/2015;Sul;3,3
04/09/2015;Nordeste;42,6
04/09/2015;Norte;0
04/09/2015;Sistema Interligado Nacional;45,9
05/09/2015;Sudeste/Centro-Oeste;0
05/09/2015;Sul;4,9
05/09/2015;Nordeste;42,3
05/09/2015;Norte;0
05/09/2015;Sistema Interligado Nacional;47,2
06/09/2015;Sudeste/Centro-Oeste;0
06/09/2015;Sul;5,8
06/09/2015;Nordeste;53,9
06/09/2015;Norte;0
06/09/2015;Sistema Interligado Nacional;59,6
07/09/2015;Sudeste/Centro-Oeste;0
07/09/2015;Sul;6,9
07/09/2015;Nordeste;56,5
07/09/2015;Norte;0
07/09/2015;Sistema Interligado Nacional;63,4
08/09/2015;Sudeste/Centro-Oeste;0
08/09/2015;Sul;6,9
08/09/2015;Nordeste;49,8
08/09/2015;Norte;0
08/09/2015;Sistema Interligado Nacional;56,7
09/09/2015;Sudeste/Centro-Oeste;0
09/09/2015;Sul;6
09/09/2015;Nordeste;47,1
09/09/2015;Norte;0
09/09/2015;Sistema Interligado Nacional;53,1
10/09/2015;Sudeste/Centro-Oeste;0
10/09/2015;Sul;12,5
10/09/2015;Nordeste;62,6
10/09/2015;Norte;0
10/09/2015;Sistema Interligado Nacional;75,1
11/09/2015;Sudeste/Centro-Oeste;0
11/09/2015;Sul;19,9
11/09/2015;Nordeste;52,3
11/09/2015;Norte;0
11/09/2015;Sistema Interligado Nacional;72,2
12/09/2015;Sudeste/Centro-Oeste;0
12/09/2015;Sul;13,6
12/09/2015;Nordeste;50,3
12/09/2015;Norte;0
12/09/2015;Sistema Interligado Nacional;63,9
13/09/2015;Sudeste/Centro-Oeste;0
13/09/2015;Sul;5,4
13/09/2015;Nordeste;59
13/09/2015;Norte;0
13/09/2015;Sistema Interligado Nacional;64,4
14/09/2015;Sudeste/Centro-Oeste;0
14/09/2015;Sul;10,3
14/09/2015;Nordeste;62,3
14/09/2015;Norte;0
14/09/2015;Sistema Interligado Nacional;72,7
15/09/2015;Sudeste/Centro-Oeste;0
15/09/2015;Sul;16,9
15/09/2015;Nordeste;66,1
15/09/2015;Norte;0
15/09/2015;Sistema Interligado Nacional;83
16/09/2015;Sudeste/Centro-Oeste;0
16/09/2015;Sul;11,4
16/09/2015;Nordeste;64,6
16/09/2015;Norte;0
16/09/2015;Sistema Interligado Nacional;76
17/09/2015;Sudeste/Centro-Oeste;0
17/09/2015;Sul;9,3
17/09/2015;Nordeste;59,5
17/09/2015;Norte;0
17/09/2015;Sistema Interligado Nacional;68,8
18/09/2015;Sudeste/Centro-Oeste;0
18/09/2015;Sul;9,5
18/09/2015;Nordeste;61,6
18/09/2015;Norte;0
18/09/2015;Sistema Interligado Nacional;71,1
19/09/2015;Sudeste/Centro-Oeste;0
19/09/2015;Sul;9,2
19/09/2015;Nordeste;60,2
19/09/2015;Norte;0
19/09/2015;Sistema Interligado Nacional;69,3
20/09/2015;Sudeste/Centro-Oeste;0
20/09/2015;Sul;10,5
20/09/2015;Nordeste;61,4
20/09/2015;Norte;0
20/09/2015;Sistema Interligado Nacional;71,9
21/09/2015;Sudeste/Centro-Oeste;0
21/09/2015;Sul;21,3
21/09/2015;Nordeste;67,5
21/09/2015;Norte;0
21/09/2015;Sistema Interligado Nacional;88,8
22/09/2015;Sudeste/Centro-Oeste;0
22/09/2015;Sul;21,1
22/09/2015;Nordeste;64,9
22/09/2015;Norte;0
22/09/2015;Sistema Interligado Nacional;86
23/09/2015;Sudeste/Centro-Oeste;0
23/09/2015;Sul;16
23/09/2015;Nordeste;59,8
23/09/2015;Norte;0
23/09/2015;Sistema Interligado Nacional;75,8
24/09/2015;Sudeste/Centro-Oeste;0
24/09/2015;Sul;14
24/09/2015;Nordeste;62,1
24/09/2015;Norte;0
24/09/2015;Sistema Interligado Nacional;76,1
25/09/2015;Sudeste/Centro-Oeste;0
25/09/2015;Sul;11,2
25/09/2015;Nordeste;55,1
25/09/2015;Norte;0
25/09/2015;Sistema Interligado Nacional;66,3
26/09/2015;Sudeste/Centro-Oeste;0
26/09/2015;Sul;11,7
26/09/2015;Nordeste;57,6
26/09/2015;Norte;0
26/09/2015;Sistema Interligado Nacional;69,3
27/09/2015;Sudeste/Centro-Oeste;0
27/09/2015;Sul;8,8
27/09/2015;Nordeste;68,1
27/09/2015;Norte;0
27/09/2015;Sistema Interligado Nacional;77
28/09/2015;Sudeste/Centro-Oeste;0
28/09/2015;Sul;6,7
28/09/2015;Nordeste;55,6
28/09/2015;Norte;0
28/09/2015;Sistema Interligado Nacional;62,3
29/09/2015;Sudeste/Centro-Oeste;0
29/09/2015;Sul;9,3
29/09/2015;Nordeste;58
29/09/2015;Norte;0
29/09/2015;Sistema Interligado Nacional;67,3
30/09/2015;Sudeste/Centro-Oeste;0
30/09/2015;Sul;4,5
30/09/2015;Nordeste;62,9
30/09/2015;Norte;0
30/09/2015;Sistema Interligado Nacional;67,4
01/10/2015;Sudeste/Centro-Oeste;0
01/10/2015;Sul;13,8
01/10/2015;Nordeste;61,4
01/10/2015;Norte;0
01/10/2015;Sistema Interligado Nacional;75,2
02/10/2015;Sudeste/Centro-Oeste;0
02/10/2015;Sul;19,5
02/10/2015;Nordeste;62,1
02/10/2015;Norte;0
02/10/2015;Sistema Interligado Nacional;81,7
03/10/2015;Sudeste/Centro-Oeste;0
03/10/2015;Sul;14,5
03/10/2015;Nordeste;59,7
03/10/2015;Norte;0
03/10/2015;Sistema Interligado Nacional;74,2
04/10/2015;Sudeste/Centro-Oeste;0
04/10/2015;Sul;7,5
04/10/2015;Nordeste;50,7
04/10/2015;Norte;0
04/10/2015;Sistema Interligado Nacional;58,2
05/10/2015;Sudeste/Centro-Oeste;0
05/10/2015;Sul;12,9
05/10/2015;Nordeste;31,5
05/10/2015;Norte;0
05/10/2015;Sistema Interligado Nacional;44,4
06/10/2015;Sudeste/Centro-Oeste;0
06/10/2015;Sul;20,1
06/10/2015;Nordeste;35,9
06/10/2015;Norte;0
06/10/2015;Sistema Interligado Nacional;56
07/10/2015;Sudeste/Centro-Oeste;0
07/10/2015;Sul;11,1
07/10/2015;Nordeste;50,9
07/10/2015;Norte;0
07/10/2015;Sistema Interligado Nacional;62
08/10/2015;Sudeste/Centro-Oeste;0
08/10/2015;Sul;18,2
08/10/2015;Nordeste;67,3
08/10/2015;Norte;0
08/10/2015;Sistema Interligado Nacional;85,5
09/10/2015;Sudeste/Centro-Oeste;0
09/10/2015;Sul;18,4
09/10/2015;Nordeste;63,2
09/10/2015;Norte;0
09/10/2015;Sistema Interligado Nacional;81,6
10/10/2015;Sudeste/Centro-Oeste;0
10/10/2015;Sul;21
10/10/2015;Nordeste;67,6
10/10/2015;Norte;0
10/10/2015;Sistema Interligado Nacional;88,6
11/10/2015;Sudeste/Centro-Oeste;0
11/10/2015;Sul;13,4
11/10/2015;Nordeste;72
11/10/2015;Norte;0
11/10/2015;Sistema Interligado Nacional;85,4
12/10/2015;Sudeste/Centro-Oeste;0
12/10/2015;Sul;11,8
12/10/2015;Nordeste;70
12/10/2015;Norte;0
12/10/2015;Sistema Interligado Nacional;81,7
13/10/2015;Sudeste/Centro-Oeste;0
13/10/2015;Sul;6
13/10/2015;Nordeste;61
13/10/2015;Norte;0
13/10/2015;Sistema Interligado Nacional;67
14/10/2015;Sudeste/Centro-Oeste;0
14/10/2015;Sul;22,4
14/10/2015;Nordeste;66,6
14/10/2015;Norte;0
14/10/2015;Sistema Interligado Nacional;89
15/10/2015;Sudeste/Centro-Oeste;0
15/10/2015;Sul;16,9
15/10/2015;Nordeste;64,2
15/10/2015;Norte;0
15/10/2015;Sistema Interligado Nacional;81,1
16/10/2015;Sudeste/Centro-Oeste;0
16/10/2015;Sul;13,4
16/10/2015;Nordeste;64,3
16/10/2015;Norte;0
16/10/2015;Sistema Interligado Nacional;77,7
17/10/2015;Sudeste/Centro-Oeste;0
17/10/2015;Sul;11,7
17/10/2015;Nordeste;54,1
17/10/2015;Norte;0
17/10/2015;Sistema Interligado Nacional;65,8
18/10/2015;Sudeste/Centro-Oeste;0
18/10/2015;Sul;5,4
18/10/2015;Nordeste;53,6
18/10/2015;Norte;0
18/10/2015;Sistema Interligado Nacional;59
19/10/2015;Sudeste/Centro-Oeste;0
19/10/2015;Sul;21,8
19/10/2015;Nordeste;64,4
19/10/2015;Norte;0
19/10/2015;Sistema Interligado Nacional;86,2
20/10/2015;Sudeste/Centro-Oeste;0
20/10/2015;Sul;18,3
20/10/2015;Nordeste;65,9
20/10/2015;Norte;0
20/10/2015;Sistema Interligado Nacional;84,3
21/10/2015;Sudeste/Centro-Oeste;0
21/10/2015;Sul;7,8
21/10/2015;Nordeste;55,3
21/10/2015;Norte;0
21/10/2015;Sistema Interligado Nacional;63,1
