Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
02/01/2017;NO.FLUMINENSE;720;723,01;0,42
02/01/2017;NUTEPA;0;0;0
02/01/2017;P.MEDICI;120;113,55;-5,38
02/01/2017;PALMEIRAS GO;0;0;0
02/01/2017;PETROLINA;0;0;0
02/01/2017;PIE-RP;0;0;0
02/01/2017;PORTO PECEM I;370;222,49;-39,87
02/01/2017;PORTO PECEM II;181,04;224,75;24,14
02/01/2017;POTIGUAR;0;0;0
02/01/2017;POTIGUAR III;0;0;0
02/01/2017;RIO MADEIRA;0;0;0
02/01/2017;ROMULOALMEIDA;57,08;55,98;-1,93
02/01/2017;S.JOSE COLINA;8;0;-100
02/01/2017;SANTA CRUZ;350;321,33;-8,19
02/01/2017;SANTAREM;0;0;0
02/01/2017;SAO JERONIMO;0;0;0
02/01/2017;SEPE TIARAJU;0;0;0
02/01/2017;T.PONTA NEGRA;64;65,85;2,89
02/01/2017;TER BRASILIA;0;0;0
02/01/2017;TERMOCABO;13,27;13,63;2,71
02/01/2017;TERMOMANAUS;0;0;0
02/01/2017;TERMONORDESTE;0;65,75;0
02/01/2017;TERMONORTE II;0;0;0
02/01/2017;TERMOPARAIBA;0;69,42;0
02/01/2017;TERMOPERNAMBU;532;272,6;-48,76
02/01/2017;TQUIRINOPOLIS;0;0;0
02/01/2017;U. ALEGRETE;0;0;0
02/01/2017;U. W.ARJONA;0;0;0
02/01/2017;U.ARAUCARIA;0;0;0
02/01/2017;U.CHARQUEADAS;0;0;0
02/01/2017;U.JLACERDA-A;0;7,5;0
02/01/2017;U.JLACERDA-B;146,67;164,39;12,08
02/01/2017;U.JLACERDA-C;280;280,95;0,34
02/01/2017;U.NV.VENECIA2;0;0;0
02/01/2017;U.PIRATININGA;0;0;0
02/01/2017;U.URUGUAIANA;0;0;0
02/01/2017;US. FIGUEIRA;7;7;0
02/01/2017;US.CAMACARI;0;0;0
02/01/2017;US.CARIOBA;0;0;0
02/01/2017;US.MANDU;15;0;-100
02/01/2017;UT CIDADE NOV;0;0;0
02/01/2017;UT DISTRITO A;0;0;0
02/01/2017;UT DISTRITO B;0;0;0
02/01/2017;UT ERB CANDEI;0;0;0
02/01/2017;UT GUA.TANABI 2;0;0;0
02/01/2017;UT INTERLAGOS;0;0;0
02/01/2017;UT MARIO LAGO;0;0;0
02/01/2017;UT MAUA BL 5A;0;0;0
02/01/2017;UT MAUA BL 5B;0;0;0
02/01/2017;UT SAO JOSE 1;0;0;0
02/01/2017;UT SAO JOSE 2;0;0;0
02/01/2017;UT. FORTALEZA;225,48;210,22;-6,77
02/01/2017;UT. KLABIN CE;190;188,8;-0,63
02/01/2017;UT.AUR.CHAVES;210;206,02;-1,9
02/01/2017;UT.CAM.GRANDE;8,25;8,63;4,61
02/01/2017;UT.MARACANAU1;71,46;48,61;-31,98
02/01/2017;UT.MARANHAO 3;519;503,66;-2,96
02/01/2017;UT.MARANHAO 4;338;322,65;-4,54
