Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
02/01/2017;CONJUNTO EOLICO PAPAGAIOS;31,62;27,21;-13,95
02/01/2017;CONJUNTO EOLICO PARANATAMA;26,40;40,28;52,58
02/01/2017;CONJUNTO EOLICO PEDRA BRANCA;75,73;67,71;-10,59
02/01/2017;CONJUNTO EÓLICO PELOURINHO;17,19;14,33;-16,64
02/01/2017;CONJUNTO EOLICO PLANALTINA;19,25;20,27;5,30
02/01/2017;CONJUNTO EOLICO QUINTA 138 KV;21,48;22,79;6,10
02/01/2017;CONJUNTO EOLICO QUINTA 69 KV;9,75;9,77;0,21
02/01/2017;CONJUNTO EOLICO RENASCENCA;74,77;95,75;28,06
02/01/2017;CONJUNTO EOLICO RENASCENCA V;32,75;39,36;20,18
02/01/2017;CONJUNTO EOLICO SANTA CLARA;61,90;91,23;47,38
02/01/2017;CONJUNTO EOLICO SANTA ROSALIA;0,00;0,00;0,00
02/01/2017;CONJUNTO EOLICO SANTA VITÓRIA DO PALMAR;100,88;167,29;65,83
02/01/2017;CONJUNTO EOLICO SAO BASILIO;0,00;0,00;0,00
02/01/2017;CONJUNTO EOLICO SAO CLEMENTE;82,25;114,03;38,64
02/01/2017;CONJUNTO EOLICO SERRA AZUL;14,25;23,56;65,33
02/01/2017;CONJUNTO EOLICO SERRA DE SANTANA 12;56,06;54,74;-2,35
02/01/2017;CONJUNTO EOLICO SERRA DE SANTANA 3;27,35;39,36;43,91
02/01/2017;CONJUNTO EOLICO TACARATU;41,83;48,88;16,85
02/01/2017;CONJUNTO EOLICO TRAIRI;83,58;59,82;-28,43
02/01/2017;CONJUNTO EOLICO UNIAO DOS VENTOS;78,40;0,00;-100,00
02/01/2017;EO MALHADINHA I;12,33;9,21;-25,30
02/01/2017;EOL ALEGRIA 2;35,10;44,91;27,95
02/01/2017;EOL ALEGRIA I;17,54;25,42;44,93
02/01/2017;EOL AREIA BRA;12,44;11,57;-6,99
02/01/2017;EOL B.VENTOS;23,31;19,47;-16,47
02/01/2017;EOL BEBERIBE;0,00;0,00;0,00
02/01/2017;EOL BOCA CORR;8,48;11,43;34,79
02/01/2017;EOL C.QUEBRAD;29,21;25,29;-13,42
02/01/2017;EOL CIDREIRA1;8,42;6,48;-23,04
02/01/2017;EOL COLONIA;10,02;10,30;2,79
02/01/2017;EOL D.INDIOS;19,75;3,07;-84,46
02/01/2017;EOL EMBUACA;10,25;7,05;-31,22
02/01/2017;EOL ENACEL;15,40;13,83;-10,19
02/01/2017;EOL FAISA I;10,29;8,90;-13,51
02/01/2017;EOL FAISA II;9,42;10,09;7,11
02/01/2017;EOL FAISA III;8,69;8,54;-1,73
