Data;Usina;Programado (MWmed);Verificado (MWmed);Desvio %
13/01/2017;PCH ENORTE;0,0;0,0;0,00
13/01/2017;STO.ANT.JARI;110,0;116,5;5,93
13/01/2017;UHE BALBINA;60,0;61,2;1,98
13/01/2017;US. TUCURUI;2.337,2;2.172,6;-7,04
13/01/2017;US.COA.NUNES;65,4;66,2;1,12
13/01/2017;CONJUNTO HIDRELETRICO BARREIRAS;32,1;33,8;5,07
13/01/2017;ITAPEBI US;31,6;28,7;-9,33
13/01/2017;P.DO CAVALO;2,5;2,6;3,20
13/01/2017;PCH CHESF;0,0;0,0;0,00
13/01/2017;PCH COELBA;0,0;0,0;0,00
13/01/2017;PCH S.GRANDE;10,1;10,1;0,00
13/01/2017;U. A. SALES;0,0;1,9;0,00
13/01/2017;U.SOBRADINHO;181,0;181,9;0,51
13/01/2017;UB.ESPERANCA;93,1;92,9;-0,27
13/01/2017;US. L.GONZAGA;318,2;321,6;1,07
13/01/2017;USINA PA-I;0,0;0,0;0,00
13/01/2017;USINA PA-II;0,0;0,0;0,00
13/01/2017;USINA PA-III;0,0;0,0;0,00
13/01/2017;USINA PA-IV;753,8;733,2;-2,73
13/01/2017;USINA XINGO;824,5;833,6;1,10
13/01/2017;ITAIPU 50 HZ;4.916,2;4.945,1;0,59
13/01/2017;14 DE JULHO;64,9;64,8;-0,08
13/01/2017;ALZIR SANTOS;53,8;47,6;-11,61
13/01/2017;BENTO MUNHOZ;703,1;834,5;18,70
13/01/2017;CASTRO ALVES;129,0;129,1;0,05
13/01/2017;CONJUNTO HIDRELETRICO BOCA DO MONTE;20,6;20,1;-2,14
13/01/2017;CONJUNTO HIDRELETRICO LAJEADO GRANDE;70,0;75,9;8,44
13/01/2017;FUNDAO;101,5;94,9;-6,44
13/01/2017;G.JOSE RICHA;988,6;1.072,8;8,51
13/01/2017;ITAUBA;271,8;300,3;10,51
13/01/2017;JACUI;180,0;177,8;-1,20
13/01/2017;NEY BRAGA;965,8;1.024,5;6,08
13/01/2017;PASSO REAL;129,1;129,2;0,05
13/01/2017;PASSO S JOAO;77,0;76,1;-1,19
13/01/2017;PCH ANGELINA;21,0;21,0;0,00
13/01/2017;PCH BLUMENAU;56,8;56,8;0,00
13/01/2017;PCH CANASTRA;24,0;25,5;6,26
13/01/2017;PCH CEEE;13,0;22,4;72,08
13/01/2017;PCH CELESC;198,7;198,7;0,00
13/01/2017;PCH CHOPIM;28,0;28,0;0,00
13/01/2017;PCH COPEL;90,9;90,9;0,00
13/01/2017;PCH CURITIBA;26,0;26,0;0,00
13/01/2017;PCH LUDESA;10,0;10,0;0,00
13/01/2017;PCH PBRANCO;140,0;140,0;0,00
13/01/2017;PCH PFUNDO;0,0;0,0;0,00
13/01/2017;PCH RGE;0,0;174,6;0,00
13/01/2017;PCH TAQUARA;11,0;0,0;-100,00
13/01/2017;PCH XANXERE;34,1;34,1;-0,03
13/01/2017;SALTO PILAO;186,4;182,6;-2,07
13/01/2017;SAO JOSE;48,0;47,4;-1,27
